episode,timestep,reward
3,2000,-90.2795
17,4000,-99.9653
20,6000,-95.5358
26,8000,-90.3889
30,10000,-79.5046
36,12000,-88.3733
38,14000,-44.9331
42,16000,-77.7389
45,18000,-89.5496
47,20000,-48.2545
52,22000,-79.284
54,24000,-52.336
56,26000,-57.9646
59,28000,-63.8065
62,30000,-63.1114
65,32000,-65.1927
67,34000,-43.365
70,36000,-66.1138
73,38000,-66.5765
75,40000,-40.5391
78,42000,-61.4489
82,44000,-73.9223
84,46000,-49.964
86,48000,-40.3396
88,50000,-43.8253
