episode,timestep,reward
6,2000,-98.0455
17,4000,-103.2963
21,6000,-84.948
25,8000,-79.2654
30,10000,-89.7366
34,12000,-89.4154
36,14000,-50.3433
38,16000,-51.4864
41,18000,-75.1002
43,20000,-44.7184
45,22000,-47.9262
